nom_entreprise;adresse;code_postal;ville;telephone;email;site_web;note_google;nb_avis;segment;source
parapharmacie;"
1 Rue du Grenier-Saint-Lazare, 75003 Paris, France";75003;Paris;09 52 47 22 16;;;3.5;4;Pharmacies & Parapharmacies;Google Maps
Grande pharmacie de la Porte Saint-Denis - pharmacy - Paris;"
2 Rue du Faubourg Saint-Denis, 75010 Paris, France";75010;Paris;01 70 23 37 28;;;3.9;3;Pharmacies & Parapharmacies;Google Maps
Aprium Grande Pharmacie Daumesnil;"
6 Pl. Félix Éboué, 75012 Paris, France";75012;Paris;01 43 43 19 03;;;2.7;3;Pharmacies & Parapharmacies;Google Maps
Grande Pharmacie Didot;"
64 Boulevard Brune, 75014 Paris, France";75014;Paris;01 45 39 57 56;;;3.0;3;Pharmacies & Parapharmacies;Google Maps
Pharmavance Boulevard de Belleville;"
86 Bd de Belleville, 75020 Paris, France";75020;Paris;01 47 97 31 83;;;3.8;3;Pharmacies & Parapharmacies;Google Maps
La Grande Pharmacie d’Alésia;"
79 Av. du Général Leclerc, 75014 Paris, France";75014;Paris;01 43 27 13 23;;;2.7;3;Pharmacies & Parapharmacies;Google Maps
Grande Pharmacie du 102;"
102 Av. de Saint-Ouen, 75018 Paris, France";75018;Paris;01 46 27 44 18;;;4.2;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie Cœur de Paris;"
19 Rue Auber, 75009 Paris, France";75009;Paris;01 47 42 07 03;;;3.2;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie des Grands Boulevards;"
178 Rue Montmartre, 75002 Paris, France";75002;Paris;01 42 33 23 96;;;3.2;3;Pharmacies & Parapharmacies;Google Maps
Grande pharmacie centrale Pasteur;"
59 Bd Pasteur, 75015 Paris, France";75015;Paris;01 43 20 78 19;;;2.3;3;Pharmacies & Parapharmacies;Google Maps
La Grande Pharmacie du Bac;"
70 Rue du Bac, 75007 Paris, France";75007;Paris;01 45 48 99 74;;;3.9;3;Pharmacies & Parapharmacies;Google Maps
Pressing Blanqui;"
57 Rue La Fayette, 75009 Paris, France";75009;Paris;01 45 89 40 78;;;4.8;4;Pressing & Services;Google Maps
Alaska Pressing;"
80 Rue du Bac, 75007 Paris, France";75007;Paris;01 45 48 07 06;;;4.0;4;Pressing & Services;Google Maps
Kat Pressing;"
44 Rue des Alouettes, 75019 Paris, France";75019;Paris;01 42 38 94 45;;;4.8;4;Pressing & Services;Google Maps
Pressing Sekenet Place de Clichy / laundry;"
112 Bis Cr de Vincennes, 75012 Paris, France";75012;Paris;01 43 07 55 40;;;4.7;4;Pressing & Services;Google Maps
Pressing Dupleix;"
27 Rue Desaix, 75015 Paris, France";75015;Paris;01 40 61 91 52;;;4.8;4;Pressing & Services;Google Maps
CLISSON PRESSING;"
45 Rue Clisson, 75013 Paris, France";75013;Paris;07 45 03 60 17;;;4.8;4;Pressing & Services;Google Maps
Vit Net Pressing;"
11bis Rue de Surène, 75008 Paris, France";75008;Paris;01 45 79 75 85;;;4.9;4;Pressing & Services;Google Maps
Teinturerie De L'élite;"
148 Rue de la Pompe, 75116 Paris, France";75116;Paris;09 51 74 28 86;;;4.7;4;Pressing & Services;Google Maps
Teinturerie Maublanc;"
France, Paris, Rue Maublanc, FR邮政编码: 75015";75015;Paris;01 45 32 59 52;;;3.8;4;Pressing & Services;Google Maps
Pressing de Seine;"
91 Rue de Rome, 75017 Paris, France";75017;Paris;01 43 87 38 82;;;4.5;4;Pressing & Services;Google Maps
Teinturerie de l'Etoile;"
20 Rue Jean Giraudoux, 75016 Paris, France";75016;Paris;01 47 20 74 36;;;3.4;4;Pressing & Services;Google Maps
KOALA PRESSING - Paris 17 Legendre - Villiers - Lévis;"
97 Rue Ordener, 75018 Paris, France";75018;Paris;01 42 55 34 44;;;4.6;4;Pressing & Services;Google Maps
Teinturerie Blanchisserie Galilée;"
51 Rue Galilée, 75016 Paris, France";75016;Paris;01 47 20 34 87;;;4.0;4;Pressing & Services;Google Maps
Pressing - Laverie - N. Atmane;"
20 Rue Rambuteau, 75003 Paris, France";75003;Paris;01 42 77 77 47;;;4.6;4;Pressing & Services;Google Maps
Pressing Express Crozatier;"
62 Rue Crozatier, 75012 Paris, France";75012;Paris;09 53 50 51 76;;;4.7;4;Pressing & Services;Google Maps
Au Pressing des Dames;"
84 Rue Jouffroy d'Abbans, 75017 Paris, France";75017;Paris;01 47 63 70 32;;;4.4;4;Pressing & Services;Google Maps
Teinturerie;"
27 Rue Geoffroy-Saint-Hilaire, 75005 Paris, France";75005;Paris;09 86 75 85 63;;;5.0;4;Pressing & Services;Google Maps
Pressing Blanchisserie Teinturerie Monceau;"
25 Rue de Moscou, 75008 Paris, France";75008;Paris;01 43 87 49 19;;;3.6;4;Pressing & Services;Google Maps
Pressing de Famille;"
56 Rue de l'Amiral Mouchez, 75014 Paris, France";75014;Paris;09 56 64 16 87;;;4.8;4;Pressing & Services;Google Maps
Pressing Chaillot;"
28 Rue de Chaillot, 75116 Paris, France";75116;Paris;01 47 23 77 58;;;4.9;4;Pressing & Services;Google Maps
